city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Courmayeur,45.7833,6.9667,Italy,IT,Valle d’Aosta,,2798,2798
Arrone,42.5837,12.7680,Italy,IT,Umbria,,2743,2743
Baschi,42.6667,12.2167,Italy,IT,Umbria,,2682,2682
Avigliano,42.6500,12.4333,Italy,IT,Umbria,,2509,2509
Leonessa,42.5686,12.9600,Italy,IT,Lazio,,2349,2349
Ischia di Castro,42.5450,11.7569,Italy,IT,Lazio,,2285,2285
San Venanzo,42.8667,12.2667,Italy,IT,Umbria,,2192,2192
Castel Giorgio,42.7000,11.9833,Italy,IT,Umbria,,2090,2090
Attigliano,42.5167,12.3000,Italy,IT,Lazio,,1991,1991
Porano,42.6833,12.1000,Italy,IT,Umbria,,1982,1982
Lecco,45.8500,9.3833,Italy,IT,Lombardy,minor,,
Cosenza,39.3000,16.2500,Italy,IT,Calabria,minor,,
Avellino,40.9000,14.7833,Italy,IT,Campania,minor,,
La Spezia,44.1167,9.8333,Italy,IT,Liguria,minor,,
Pordenone,45.9639,12.6575,Italy,IT,Friuli-Venezia Giulia,minor,,
Verbania,45.9333,8.5333,Italy,IT,Piedmont,minor,,
Lodi,45.3167,9.5000,Italy,IT,Lombardy,minor,,
Sondrio,46.1667,9.8667,Italy,IT,Lombardy,minor,,
Frosinone,41.6333,13.3167,Italy,IT,Lazio,minor,,
Cremona,45.1167,10.0333,Italy,IT,Lombardy,minor,,
Pavia,45.1667,9.1667,Italy,IT,Lombardy,minor,,
Chieti,42.3500,14.1667,Italy,IT,Abruzzo,minor,,
Mantova,45.1500,10.8000,Italy,IT,Lombardy,minor,,
Pesaro,43.9000,12.9167,Italy,IT,Marche,minor,,
Massa,44.0167,10.1500,Italy,IT,Tuscany,minor,,
Vercelli,45.3167,8.4167,Italy,IT,Piedmont,minor,,
Trani,41.2833,16.4167,Italy,IT,Puglia,minor,,
Lucca,43.8333,10.4833,Italy,IT,Tuscany,minor,,
Cuneo,44.3833,7.5333,Italy,IT,Piedmont,minor,,
Rovigo,45.0667,11.7833,Italy,IT,Veneto,minor,,
Alessandria,44.9000,8.6167,Italy,IT,Piedmont,minor,,
Pistoia,43.9167,10.9000,Italy,IT,Tuscany,minor,,
Oristano,39.9031,8.5919,Italy,IT,Sardegna,minor,,
Teramo,42.6500,13.7000,Italy,IT,Abruzzo,minor,,
Ascoli Piceno,42.8500,13.5667,Italy,IT,Marche,minor,,
Fermo,43.1500,13.7167,Italy,IT,Marche,minor,,
Tortolì,39.9256,9.6572,Italy,IT,Sardegna,minor,,
Belluno,46.1450,12.2214,Italy,IT,Veneto,minor,,
Rieti,42.4000,12.8500,Italy,IT,Lazio,minor,,
Carbonia,39.1672,8.5222,Italy,IT,Sardegna,minor,,
Nuoro,40.3167,9.3500,Italy,IT,Sardegna,minor,,
Grosseto,42.7667,11.1333,Italy,IT,Tuscany,minor,,
Viterbo,42.4167,12.1000,Italy,IT,Lazio,minor,,
Matera,40.6667,16.6000,Italy,IT,Basilicata,minor,,
Caltanissetta,37.4833,14.0667,Italy,IT,Sicilia,minor,,
Iglesias,39.3114,8.5350,Italy,IT,Sardegna,minor,,
Lanusei,39.8758,9.5417,Italy,IT,Sardegna,minor,,
Sanluri,39.5611,8.8994,Italy,IT,Sardegna,minor,,
Enna,37.5667,14.2667,Italy,IT,Sicilia,minor,,
Villacidro,39.4578,8.7406,Italy,IT,Sardegna,minor,,
Tempio Pausania,40.9000,9.1000,Italy,IT,Sardegna,minor,,
Imperia,43.8833,8.0500,Italy,IT,Liguria,minor,,
Trapani,38.0167,12.4833,Italy,IT,Sicilia,minor,,
